codes,BR01,BR02,BR03,BR04,BR05,BR06,BR07,BR08,BR09,BR10,BR11,BR12,BR13,BR14,BR15,BR16,BR17,BR18,BR19,BR20,BR21,BR22,BR23,BR24,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R22A,R23,R24,R25,R26,R27,R28,G01,G02,G03,G03A,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O50,O51,O52,O53,O54,BL01,BL02,BL03,BL04,BL05,BL06,BL07,BL08,BL09,BL10,BL11,BL12,BL13,BL14,BL15,BL16,BL17,BL18,BL19,BL20,BL21,BL22,BL23,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20
BR01,0,20,20,20,20,20,25,25,25,30,30,30,35,40,40,45,45,45,50,50,45,45,40,40,30,30,30,25,30,30,30,35,35,35,35,35,35,40,40,45,45,45,50,50,50,50,55,55,55,60,60,65,45,45,40,45,40,40,35,35,35,30,30,35,35,35,35,30,30,30,35,35,40,40,35,35,30,30,30,30,35,35,35,35,40,40,40,45,45,45,50,55,55,40,40,45,45,45,55,55,55,50,50,45,45,45,40,35,35,35,30,30,30,30,30,30,35,35,35,40,40,40,45,40,40,40,40,45,45,45,45,45,45,50,50
BR02,20,0,20,20,20,20,20,25,25,25,30,30,35,35,40,40,45,45,45,45,45,45,40,40,30,30,25,25,25,30,30,30,30,35,35,35,35,40,40,40,45,45,45,50,50,50,50,55,55,60,60,65,45,45,40,45,40,40,35,35,30,30,30,30,35,35,35,30,30,30,35,35,40,40,35,35,30,30,30,30,30,35,35,35,40,40,40,45,45,45,50,50,55,40,40,40,45,45,55,55,50,50,45,45,45,40,40,35,35,30,30,30,25,30,30,30,30,35,35,40,40,40,40,40,40,40,40,40,45,45,45,40,45,45,50
BR03,20,20,0,20,20,20,20,25,25,25,30,30,30,35,40,40,40,45,45,45,45,40,40,40,30,30,25,25,25,25,30,30,30,30,35,35,35,40,40,40,45,45,45,45,50,50,50,55,55,55,60,60,45,40,40,45,40,35,35,35,30,30,30,30,30,35,30,30,30,30,30,35,40,35,35,35,30,25,30,30,30,35,35,35,35,40,40,45,45,45,50,50,55,40,40,40,45,45,55,55,50,50,45,45,45,40,40,35,30,30,30,30,25,25,30,30,30,35,35,35,40,40,40,40,40,35,40,40,40,45,45,40,45,45,50
BR04,20,20,20,0,20,20,20,20,25,25,25,30,30,35,35,40,40,40,45,45,40,40,40,35,25,25,25,25,25,25,30,30,30,30,30,30,35,35,40,40,40,40,45,45,45,50,50,50,55,55,60,60,40,40,40,40,35,35,35,30,30,30,30,30,30,30,30,30,25,30,30,30,35,35,35,30,30,25,25,30,30,30,30,35,35,35,40,40,40,45,45,50,50,35,40,40,40,45,55,50,50,45,45,40,40,40,40,30,30,30,30,25,25,25,25,30,30,30,35,35,35,35,40,40,35,35,40,40,40,40,40,40,40,45,45
BR05,20,20,20,20,0,20,20,20,20,25,25,25,30,35,35,40,40,40,45,45,40,40,35,35,25,25,25,20,25,25,25,30,25,30,30,30,30,35,35,40,40,40,45,45,45,45,50,50,50,55,55,60,40,40,35,40,35,35,30,30,30,25,25,30,30,30,30,25,25,25,30,30,35,35,30,30,25,25,25,25,30,30,30,30,35,35,35,40,40,40,45,45,50,35,35,40,40,40,55,50,50,45,45,40,40,40,35,30,30,25,25,25,25,25,25,25,30,30,30,35,35,35,40,35,35,35,35,40,40,40,40,40,40,40,45
BR06,20,20,20,20,20,0,20,20,20,20,20,25,25,30,35,35,35,40,40,40,40,35,35,35,25,20,20,20,20,20,25,25,25,25,25,30,30,30,35,35,35,40,40,40,45,45,45,50,50,55,55,60,40,35,35,40,35,30,30,25,25,25,25,25,25,30,25,25,20,25,25,30,35,30,30,25,25,20,20,25,25,25,30,30,30,35,35,35,40,40,40,45,45,30,35,35,35,40,50,45,45,45,40,40,35,35,35,30,25,25,25,20,20,20,20,25,25,25,30,30,35,35,35,35,35,30,35,35,35,40,35,35,40,40,40
BR07,25,20,20,20,20,20,0,20,20,20,20,20,25,30,30,35,35,35,40,40,35,35,35,30,20,20,20,20,20,20,20,25,25,25,25,25,30,30,30,35,35,35,40,40,40,45,45,45,50,50,55,55,35,35,35,35,30,30,30,25,25,20,20,25,25,25,25,25,20,20,25,25,30,30,30,25,20,20,20,25,25,25,25,25,30,30,35,35,35,40,40,45,45,30,35,35,35,35,50,45,45,40,40,35,35,35,30,25,25,25,20,20,20,20,20,25,25,25,30,30,30,30,35,35,30,30,30,35,35,35,35,35,35,40,40
BR08,25,25,25,20,20,20,20,0,20,20,20,20,25,25,30,30,35,35,35,35,35,35,30,30,20,20,20,20,20,20,20,20,20,25,25,25,25,30,30,30,35,35,35,40,40,40,40,45,45,50,55,55,35,35,30,35,30,30,25,25,20,20,20,20,25,25,25,20,20,20,25,25,30,30,25,25,20,20,20,20,20,25,25,25,30,30,30,35,35,35,40,40,45,30,30,30,35,35,45,45,40,40,35,35,35,30,30,25,25,20,20,20,20,20,20,20,20,25,25,30,30,30,30,30,30,30,30,30,35,35,35,30,35,35,40
BR09,25,25,25,25,20,20,20,20,0,20,20,20,20,25,30,30,30,35,35,35,35,30,30,30,20,20,20,20,20,20,20,20,20,20,20,25,25,25,30,30,30,35,35,35,40,40,40,45,45,50,50,55,35,30,30,35,30,25,25,20,20,20,20,20,20,25,20,20,20,20,20,25,30,25,25,25,20,20,20,20,20,20,25,25,25,30,30,30,35,35,40,40,45,25,30,30,30,35,45,45,40,40,35,35,35,30,30,25,20,20,20,20,20,20,20,20,20,20,25,25,30,30,30,30,30,25,30,30,30,35,35,30,35,35,35
BR10,30,25,25,25,25,20,20,20,20,0,20,20,20,25,25,30,30,30,35,35,30,30,30,25,20,20,20,20,20,20,20,20,20,20,20,20,25,25,30,30,30,30,35,35,35,40,40,40,45,45,50,55,35,35,30,35,30,30,25,25,20,20,20,20,20,20,20,20,20,20,20,20,30,30,25,25,20,20,20,20,20,20,20,25,25,25,30,30,30,35,35,40,40,25,30,30,30,35,45,40,40,40,35,35,30,30,30,25,20,20,20,20,20,20,20,20,20,20,25,25,25,30,30,30,30,30,30,30,35,35,30,30,30,35,35
BR11,30,30,30,25,25,20,20,20,20,20,0,20,20,20,25,25,30,30,30,35,35,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,30,30,30,30,35,35,35,40,40,40,45,50,50,35,35,35,35,30,30,30,25,25,20,20,25,20,20,20,20,20,20,20,20,30,30,30,25,20,20,20,20,20,20,20,20,25,25,25,30,30,35,35,40,40,25,25,25,30,30,45,40,40,40,35,35,30,30,30,25,20,20,20,20,20,20,20,20,20,25,25,30,30,30,35,35,30,30,30,35,35,35,30,30,30,35,35
BR12,30,30,30,30,25,25,20,20,20,20,20,0,20,20,25,25,25,30,30,30,35,35,30,30,25,25,20,20,20,20,25,20,20,20,20,20,25,25,25,30,30,30,35,35,35,40,40,40,45,45,50,55,40,35,35,40,35,30,30,25,25,25,25,25,25,20,20,20,20,20,20,20,35,30,30,25,25,20,20,20,20,20,20,20,25,25,30,30,35,35,35,40,40,25,30,30,30,30,45,45,40,40,35,35,35,30,30,25,25,20,20,20,20,20,20,20,25,25,25,30,30,35,35,35,35,30,35,35,35,35,35,30,35,35,35
BR13,35,35,30,30,30,25,25,25,20,20,20,20,0,20,20,25,25,25,30,30,30,35,35,35,25,25,25,20,25,25,25,25,25,20,25,25,25,30,30,30,35,35,35,40,40,40,40,45,45,50,50,55,40,40,35,40,35,35,30,30,30,25,25,25,25,25,20,20,20,20,20,25,35,35,30,30,25,25,20,20,20,25,25,25,25,30,30,35,35,35,40,40,45,30,30,30,35,35,50,45,45,40,40,35,35,35,35,30,25,25,25,20,20,20,25,25,25,25,30,30,35,35,40,35,35,35,35,40,40,40,35,35,35,35,40
BR14,40,35,35,35,35,30,30,25,25,25,20,20,20,0,20,20,20,20,25,25,30,30,30,30,30,30,30,25,25,30,30,30,25,25,25,30,30,30,35,35,35,40,40,40,45,45,45,50,50,55,55,60,45,45,40,45,40,40,35,35,30,30,30,30,30,30,25,25,20,25,25,30,40,40,35,35,30,30,25,25,25,25,30,30,30,35,35,35,40,40,45,45,50,30,35,35,35,40,55,50,50,45,45,40,40,40,35,30,30,25,30,25,25,25,25,30,30,30,35,35,30,40,45,40,40,40,40,40,45,40,40,40,40,40,45
BR15,40,40,40,35,35,35,30,30,30,25,25,25,20,20,0,20,20,20,20,25,25,25,30,30,35,30,30,30,30,30,30,30,30,30,30,30,30,35,35,40,40,40,45,45,45,45,50,50,50,55,55,60,45,45,45,45,40,40,40,35,35,35,30,35,30,30,30,25,25,25,30,30,40,40,40,35,35,30,30,25,30,30,30,30,35,35,35,40,40,45,45,50,50,35,35,40,40,40,55,55,50,50,45,45,45,40,40,35,30,30,30,30,25,30,30,30,30,35,35,30,30,40,45,45,40,40,45,45,45,45,45,40,40,45,45
BR16,45,40,40,40,40,35,35,30,30,30,25,25,25,20,20,0,20,20,20,20,25,25,25,25,35,35,30,30,30,30,35,35,30,30,30,30,35,35,40,40,40,45,45,45,50,50,50,55,55,55,60,60,50,45,45,50,45,40,40,40,35,35,35,35,35,35,30,30,25,30,30,35,45,45,40,40,35,30,30,30,30,30,30,35,35,35,40,40,45,45,50,50,55,35,40,40,40,45,55,55,55,50,50,45,45,45,40,35,35,30,30,30,30,30,30,35,35,35,30,30,25,45,45,45,45,45,45,45,45,45,45,45,45,45,50
BR17,45,45,40,40,40,35,35,35,30,30,30,25,25,20,20,20,0,20,20,20,20,25,25,25,35,35,35,30,35,35,35,35,35,30,35,35,35,40,40,40,45,45,45,50,50,50,50,55,55,55,60,60,50,50,45,50,45,45,40,40,40,35,35,35,35,35,30,30,30,30,30,35,45,45,40,40,35,35,30,30,30,35,35,35,35,40,40,45,45,45,50,50,55,40,40,40,45,45,60,55,55,50,50,45,45,45,45,40,35,35,35,30,30,30,35,35,35,35,30,30,25,45,50,45,45,45,45,50,50,50,45,45,45,45,50
